mode,script,time_sec
bash,nginx-1.sh,1.774
bash,nginx-2.sh,1.684
bash,nginx-3.sh,6.759
bash,nginx-4.sh,7.067
bash,nginx-5.sh,7.766
bash,nginx-6.sh,9.812
bash,nginx-7.sh,9.888
bash,nginx-8.sh,12.397
bash,nginx-9.sh,14.285
bash,nginx-10.sh,14.267
bash,nginx-11.sh,12.492
bash,nginx-12.sh,19.752
bash,nginx-13.sh,19.173
bash,nginx-14.sh,20.916
bash,nginx-15.sh,24.878
bash,nginx-16.sh,24.071
bash,nginx-17.sh,27.301
bash,nginx-18.sh,40.071
bash,nginx-19.sh,41.515
bash,nginx-20.sh,48.784
bash,nginx-21.sh,49.049
bash,nginx-22.sh,53.654
incr,nginx-1.sh,7.152
incr,nginx-2.sh,2.79
incr,nginx-3.sh,3.286
incr,nginx-4.sh,2.705
incr,nginx-5.sh,3.191
incr,nginx-6.sh,2.656
incr,nginx-7.sh,0.6
incr,nginx-8.sh,1.63
incr,nginx-9.sh,2.557
incr,nginx-10.sh,0.353
incr,nginx-11.sh,0.292
incr,nginx-12.sh,9.804
incr,nginx-13.sh,0.315
incr,nginx-14.sh,0.345
incr,nginx-15.sh,1.854
incr,nginx-16.sh,0.58
incr,nginx-17.sh,10.401
incr,nginx-18.sh,9.956
incr,nginx-19.sh,0.937
incr,nginx-20.sh,10.334
incr,nginx-21.sh,0.984
incr,nginx-22.sh,1.434
