mode,script,time_sec
bash,beginner-01.sh,34.888
bash,beginner-02.sh,37.2
bash,beginner-03.sh,36.69
bash,beginner-04.sh,36.428
bash,beginner-05.sh,36.488
bash,beginner-06.sh,36.702
bash,beginner-07.sh,36.73
bash,beginner-08.sh,36.617
bash,beginner-09.sh,36.513
bash,beginner-10.sh,40.583
bash,beginner-11.sh,42.788
bash,beginner-12.sh,42.635
bash,beginner-13.sh,43.213
bash,beginner-14.sh,42.987
incr,beginner-01.sh,37.813
incr,beginner-02.sh,41.961
incr,beginner-03.sh,5.55
incr,beginner-04.sh,2.952
incr,beginner-05.sh,2.943
incr,beginner-06.sh,3.117
incr,beginner-07.sh,2.758
incr,beginner-08.sh,3.111
incr,beginner-09.sh,3.875
incr,beginner-10.sh,5.167
incr,beginner-11.sh,4.704
incr,beginner-12.sh,4.55
incr,beginner-13.sh,3.017
incr,beginner-14.sh,3.092
