mode,script,time_sec
bash,nginx-1.sh,1.731
bash,nginx-2.sh,1.749
bash,nginx-3.sh,6.978
bash,nginx-4.sh,7.009
bash,nginx-5.sh,8.738
bash,nginx-6.sh,9.535
bash,nginx-7.sh,10.074
bash,nginx-8.sh,10.842
bash,nginx-9.sh,13.747
bash,nginx-10.sh,14.758
bash,nginx-11.sh,14.596
bash,nginx-12.sh,19.42
bash,nginx-13.sh,20.642
bash,nginx-14.sh,21.021
bash,nginx-15.sh,23.794
bash,nginx-16.sh,23.947
bash,nginx-17.sh,27.103
bash,nginx-18.sh,40.513
bash,nginx-19.sh,42.814
bash,nginx-20.sh,49.424
bash,nginx-21.sh,48.936
bash,nginx-22.sh,52.454
incr,nginx-1.sh,6.726
incr,nginx-2.sh,3.941
incr,nginx-3.sh,5.727
incr,nginx-4.sh,3.232
incr,nginx-5.sh,3.536
incr,nginx-6.sh,2.199
incr,nginx-7.sh,0.391
incr,nginx-8.sh,1.858
incr,nginx-9.sh,2.226
incr,nginx-10.sh,0.296
incr,nginx-11.sh,0.746
incr,nginx-12.sh,6.974
incr,nginx-13.sh,0.304
incr,nginx-14.sh,0.438
incr,nginx-15.sh,1.497
incr,nginx-16.sh,0.496
incr,nginx-17.sh,7.57
incr,nginx-18.sh,10.265
incr,nginx-19.sh,1.036
incr,nginx-20.sh,7.262
incr,nginx-21.sh,0.994
incr,nginx-22.sh,1.396
