mode,script,time_sec
bash,7.sh,0.331
bash,8.sh,0.159
bash,9.sh,0.153
bash,10.sh,0.582
bash,11.sh,0.621
bash,12.sh,2.982
incr,7.sh,0.758
incr,8.sh,0.429
incr,9.sh,0.578
incr,10.sh,0.871
incr,11.sh,1.15
incr,12.sh,3.536
