mode,script,time_sec
bash,nginx-1.sh,0.004
bash,nginx-2.sh,0.004
bash,nginx-3.sh,0.005
bash,nginx-4.sh,0.003
bash,nginx-5.sh,0.003
bash,nginx-6.sh,0.003
bash,nginx-7.sh,0.004
bash,nginx-8.sh,0.005
bash,nginx-9.sh,0.005
bash,nginx-10.sh,14.699
bash,nginx-11.sh,14.336
bash,nginx-12.sh,21.019
bash,nginx-13.sh,20.342
bash,nginx-14.sh,20.878
bash,nginx-15.sh,23.951
bash,nginx-16.sh,24.635
bash,nginx-17.sh,28.916
bash,nginx-18.sh,42.992
bash,nginx-19.sh,42.919
bash,nginx-20.sh,49.423
bash,nginx-21.sh,49.33
bash,nginx-22.sh,51.851
incr,nginx-1.sh,0.112
incr,nginx-2.sh,0.103
incr,nginx-3.sh,0.11
incr,nginx-4.sh,0.116
incr,nginx-5.sh,0.105
incr,nginx-6.sh,0.099
incr,nginx-7.sh,0.106
incr,nginx-8.sh,0.168
incr,nginx-9.sh,0.095
incr,nginx-10.sh,8.973
incr,nginx-11.sh,0.791
incr,nginx-12.sh,6.665
incr,nginx-13.sh,0.393
incr,nginx-14.sh,0.504
incr,nginx-15.sh,1.581
incr,nginx-16.sh,0.561
incr,nginx-17.sh,7.404
incr,nginx-18.sh,10.477
incr,nginx-19.sh,1.039
incr,nginx-20.sh,7.716
incr,nginx-21.sh,1.129
incr,nginx-22.sh,1.413
