mode,script,time_sec
bash,ngrams-1.sh,28.851
bash,ngrams-2.sh,66.795
bash,ngrams-3.sh,70.339
incr,ngrams-1.sh,35.695
incr,ngrams-2.sh,62.142
incr,ngrams-3.sh,7.426
