mode,script,time_sec
bash,beginner-01.sh,34.786
bash,beginner-02.sh,37.579
bash,beginner-03.sh,36.938
bash,beginner-04.sh,36.683
bash,beginner-05.sh,36.719
bash,beginner-06.sh,36.537
bash,beginner-07.sh,37.23
bash,beginner-08.sh,36.719
bash,beginner-09.sh,36.48
bash,beginner-10.sh,40.995
bash,beginner-11.sh,43.45
bash,beginner-12.sh,43.31
bash,beginner-13.sh,42.996
bash,beginner-14.sh,42.525
incr,beginner-01.sh,37.746
incr,beginner-02.sh,41.629
incr,beginner-03.sh,5.401
incr,beginner-04.sh,2.832
incr,beginner-05.sh,2.751
incr,beginner-06.sh,3.386
incr,beginner-07.sh,2.825
incr,beginner-08.sh,3.099
incr,beginner-09.sh,3.153
incr,beginner-10.sh,6.142
incr,beginner-11.sh,4.473
incr,beginner-12.sh,4.38
incr,beginner-13.sh,3.001
incr,beginner-14.sh,3.364
