mode,script,time_sec
incr,spell-1.sh,6.315
incr,spell-2.sh,59.278
incr,spell-3.sh,2.885
incr,spell-4.sh,3.082
incr,spell-5.sh,95.483
incr,spell-6.sh,2.449
incr,spell-7.sh,4.702
