mode,script,time_sec
bash,beginner-01.sh,35.676
bash,beginner-02.sh,37.236
bash,beginner-03.sh,36.499
bash,beginner-04.sh,36.747
bash,beginner-05.sh,36.828
bash,beginner-06.sh,36.725
bash,beginner-07.sh,37.168
bash,beginner-08.sh,36.571
bash,beginner-09.sh,36.544
bash,beginner-10.sh,41.16
bash,beginner-11.sh,43.517
bash,beginner-12.sh,42.414
bash,beginner-13.sh,42.489
bash,beginner-14.sh,42.521
incr,beginner-01.sh,34.278
incr,beginner-02.sh,36.58
incr,beginner-03.sh,4.945
incr,beginner-04.sh,2.747
incr,beginner-05.sh,2.744
incr,beginner-06.sh,2.834
incr,beginner-07.sh,2.712
incr,beginner-08.sh,3.004
incr,beginner-09.sh,3.096
incr,beginner-10.sh,5.067
incr,beginner-11.sh,4.299
incr,beginner-12.sh,4.201
incr,beginner-13.sh,2.812
incr,beginner-14.sh,2.934
